0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.608,0.404,0.228,-0.244,-0.032,0.028,9.25668383916269,3.6502364366754048,3.7225993970855726,6.899216967655464,0.0
0.456,0.604,0.26,-0.108,-0.028,-0.04,4.1267194999658,7.025483656144726,5.153067275535722,6.440376403882359,0.0
0.668,0.72,0.468,-0.148,0.224,-0.036,3.532839225797102,3.327984840484543,1.8403109723652822,5.070573274462425,0.0
0.408,0.6,0.28,-0.024,-0.096,-0.056,5.184368036838414,7.844159001857812,5.158813506788153,4.006584343027398,0.0
0.64,0.624,0.416,-0.412,-0.48,0.204,1.5949260855557323,2.3102807576281577,7.593947122771484,7.930745183204467,0.0
0.572,0.648,0.396,-0.184,-0.04,0.096,3.783743757961612,3.7087158141862098,5.023249510304128,5.856903080685754,0.0
0.532,0.524,0.368,-0.084,-0.196,0.136,4.313104834181907,4.724115743235899,6.992757555994082,4.825480590360807,0.0
0.38,0.584,0.228,-0.08,0.12,-0.056,6.3279515203251915,8.185269210231152,3.2301896994326276,8.353174832213865,0.0
0.392,0.624,0.224,-0.036,-0.036,-0.104,4.894360928618168,7.861334877680804,6.025571176387507,6.4797803487559875,0.0
0.52,0.552,0.304,0.052,0.16,0.076,5.740908165209863,6.562513425697098,0.8643965841317787,5.048787204530597,0.0
0.54,0.808,0.412,-0.116,-0.428,0.0,1.202040315747694,5.22134692604285,6.434739542949364,6.506437781603143,0.0
0.54,0.556,0.304,-0.024,0.016,0.016,5.998455465040701,5.227470132804211,4.027597041354474,4.305001063708979,0.0
0.484,0.428,0.184,-0.004,-0.112,-0.004,8.053498485018624,6.699212931113371,5.8425528347894335,5.595348793433107,0.0
0.796,0.736,0.596,0.184,0.088,0.064,3.3309218313188906,2.6979474201473757,3.850781236915349,3.07597528331587,0.0
0.776,0.476,0.396,0.184,-0.044,-0.036,6.722153376595328,2.1833920032198444,4.207796964399071,3.0397728395147836,0.0
0.544,0.624,0.344,-0.12,0.072,-0.048,4.66137484647849,4.836427651689864,3.094095297551211,6.336952197056862,0.0
0.42,0.456,0.228,0.012,-0.056,0.068,6.145956930747394,8.201707077377334,6.4791626454160935,5.8230201826781105,0.0
0.708,0.544,0.372,-0.996,0.06,-0.056,6.304750537778997,-0.6096030769745173,2.0397833450440355,8.580113090565431,0.0
0.568,0.688,0.376,-0.272,0.132,-0.044,2.6118160934972106,3.9329815450770225,3.769348216462554,7.153015188957818,0.0
0.456,0.468,0.276,-0.016,0.02,-0.092,6.458748176824798,6.5853275266185065,4.306679526800374,4.790960504698187,0.0
0.604,0.488,0.324,0.204,-0.108,-0.088,6.194594325549554,4.620315347596357,7.727854401480247,1.1305063563000255,0.0
0.464,0.36,0.168,-0.084,-0.28,-0.004,4.71372446552026,6.397491126011027,9.07440264082437,6.545027709499464,0.0
0.82,0.384,0.308,0.072,-0.008,0.016,7.60212047911468,1.6744056079077168,4.782659241100022,3.842274508624123,0.0
0.552,0.548,0.34,-0.02,-0.084,-0.04,5.562362569468022,4.901265348677329,5.41344430141345,5.773733627798083,0.0
0.696,0.536,0.408,0.128,0.0,0.04,6.0706068600689385,4.689530947812471,5.11924504969041,1.574783587916869,0.0
0.528,0.412,0.244,0.004,-0.04,-0.052,7.048003376529117,5.605243667542237,5.296273810151698,3.489197384827076,0.0
0.464,0.64,0.384,-0.172,0.056,-0.068,3.9356920656178147,4.137050432763145,4.482772873603397,7.426053152519956,0.0
0.44,0.588,0.252,-0.144,0.036,0.052,4.867015893456201,5.599296491524654,5.990512632379015,8.051642239606219,0.0
