0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.268,0.284,0.096,-0.02,0.0,-0.012,8.86526019037408,6.606704178075118,5.334198098146993,6.790359948356257,6.884177680045726
0.404,0.592,0.236,0.0,0.024,0.032,4.526024681670209,5.698629824307364,1.6268804329633841,5.300985217974367,5.31506961410443
0.452,0.388,0.184,-0.124,-0.104,0.036,6.62197026915514,5.526110615043117,7.550229371258447,4.8138001132472645,2.404396161435826
0.624,0.468,0.348,-0.136,-0.068,0.004,6.132169883575731,3.502321990555504,3.8976867035353546,2.6955662745764393,5.183231778854394
0.316,0.364,0.136,-0.028,0.016,0.084,7.918021275144765,5.276020374920975,1.9457198071915407,7.4529491159412,6.983271019241703
0.48,0.444,0.236,-0.068,-0.024,0.036,5.638421770768485,4.654635332121544,5.219278921726921,4.250978993163426,5.52624583199813
0.572,0.368,0.172,-0.22,-0.036,0.008,5.408458679895676,2.3193426689713745,6.2696933677509055,4.603602032482774,6.181775191239563
0.404,0.32,0.164,-0.012,0.056,0.004,6.76521850837891,6.706423425461043,7.886843886367583,4.3151636646889,4.961790192243689
0.304,0.336,0.16,-0.052,-0.012,0.0,5.464146153119826,4.1828087428375476,5.030264299190225,6.383781135417408,7.855688453498136
0.292,0.508,0.184,0.028,0.024,0.036,5.224841087627511,5.436236557793788,1.9242996511848416,5.982137496027205,8.447538590866166
0.488,0.44,0.272,-0.04,-0.136,0.048,4.360378013303054,3.9590086196496186,5.900050891480335,5.4710780487087565,5.857943612391159
0.292,0.284,0.104,-0.04,-0.072,0.096,3.6866107854118053,7.88189795813431,8.406015554171592,5.893878646376659,6.709929702664334
0.328,0.648,0.216,0.008,-0.54,0.036,0.446902448625222,7.875866926327857,5.824787028935959,5.916112180804452,5.553440053979568
0.4,0.468,0.132,-0.06,-0.076,-0.04,5.536662423382858,6.130581409368504,4.929586505413166,5.424750496452222,4.717997756208156
0.328,0.408,0.224,0.032,-0.016,-0.064,5.550809237660072,7.6138159031893995,3.8956414606649616,7.099516361117904,7.165320497811033
0.552,0.296,0.144,0.076,-0.12,0.02,4.908889257519364,5.195968391562496,10.210918202448081,2.72511541797942,1.9793625064264946
0.24,0.524,0.172,-0.056,-0.004,-0.028,3.320689773242496,8.338499745850887,2.2705489278293,5.4167391154051625,6.809110891330693
0.828,0.472,0.388,0.16,-0.212,-0.092,2.677499108213014,1.4814943059543393,7.63132723781167,0.6204649350987372,4.943394226892202
0.524,0.592,0.364,-0.124,0.048,0.004,5.409476872092636,4.837108116722747,1.994549296668903,4.856991427651105,3.884333703163846
0.516,0.628,0.328,-0.116,-0.28,0.092,2.639363214783585,4.389991395322286,5.411663875166613,5.122317671149729,4.587178728935681
0.348,0.22,0.08,-0.02,0.004,-0.008,7.441059323476958,5.177234750779144,8.044216481005016,4.926742199657926,7.8807309547294135
0.528,0.428,0.22,-0.436,-0.148,0.184,3.024230963752097,0.8800922759537935,8.423585223581552,7.757065066885888,4.761456192182421
0.396,0.352,0.084,0.028,0.012,-0.056,6.455917549927802,7.5956807122341035,6.3816535500564475,4.092163307348701,5.552644763731179
0.544,0.372,0.212,0.076,-0.008,-0.004,6.873691854443569,6.205964547084087,5.40048886628474,1.143109569116941,3.95580853626823
0.404,0.628,0.224,-0.012,-0.268,-0.016,2.3720680371585003,6.411816899075866,6.51768487565153,5.4417714557498105,2.3495920287833516
0.428,0.516,0.232,-0.036,-0.132,-0.04,5.28465064880352,4.841924805542257,4.089695916411674,5.886107553724379,3.9461378587701703
0.36,0.248,0.12,0.056,-0.076,-0.012,6.159760295950569,6.644235680013359,6.077100760880395,4.299612620346162,7.80442062733205
0.588,0.404,0.248,-0.08,-0.032,-0.048,6.113695877095552,3.3756596378701813,4.47452615688102,2.2652690805450857,7.021685749353479
0.484,0.512,0.204,-0.016,-0.108,-0.06,7.390719110223863,5.07423444432391,3.861011775006045,3.9031791166457492,4.357094146044159
