0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,-0.102,0.0012,-0.024,0.0052,0.0048,0.0044,5.453856678991476,2.8232101397540164,3.7851893167239425,3.8639440237718876,7.9888980471687185
1.0,1.0,1.0,0.0868,-0.0024,-0.0052,0.1464,-0.01,-0.0076,5.006115818643589,0.6108636399502307,3.5887047895201567,8.260048904968937,4.851855807092022
1.0,1.0,1.0,0.0128,-0.0428,-0.0108,0.0056,0.0384,-0.0032,2.640298341067219,3.5299504341469294,-1.532090685922686,4.847580114309414,4.6906017561821844
1.0,1.0,1.0,0.0656,0.0876,0.0044,-0.0308,0.016,0.0092,2.5503934133475137,1.7456902690283342,6.83070065898401,6.342285579859182,8.272162401134626
1.0,1.0,1.0,0.0012,-0.0224,0.0044,-0.0208,0.01,-0.006,4.684314348467882,2.954360602674664,4.982248469122459,9.134571983008144,1.5297397176831091
1.0,1.0,1.0,-0.2448,-0.0068,-0.0012,0.0108,0.0296,0.0012,4.682112200903885,0.7518016437679957,3.9509459215278504,3.8712040674309733,5.919562072287457
1.0,1.0,1.0,-0.098,-0.0428,0.0208,-0.0464,-0.0088,-0.0096,3.872950118026234,1.1876736595007806,5.010227777520436,3.265232173224593,6.291384548779045
1.0,1.0,1.0,-0.278,0.05,-0.012,0.0028,-0.0264,0.0052,1.9960771404737034,1.347937815722515,6.437957304660918,4.929276396353473,7.911617928253834
1.0,1.0,1.0,0.0108,-0.0188,-0.0184,0.1012,0.126,-0.0032,1.1649769477645608,1.3973151380337523,3.8177318213001668,7.78614634729424,3.5556923837356553
1.0,1.0,1.0,-0.0256,-0.0132,-0.0116,-0.0192,0.0276,-0.0052,3.5079788890913512,4.353311024698931,4.111160987047122,5.600331031784841,5.142704932963504
1.0,1.0,1.0,-0.0812,-0.0592,0.0004,0.0408,-0.018,0.0068,3.6332043118033024,2.9700299738722946,4.308198484105176,4.1828327237330365,8.357478842431977
1.0,1.0,1.0,-0.008,0.2624,0.0064,-0.0112,0.0704,0.0192,1.6131116081503554,4.835798405200737,7.8253338192821955,4.6803111910488875,8.835696616506985
1.0,1.0,1.0,-0.01,-0.0316,-0.0072,-0.0292,0.016,-0.002,1.7250885901145556,6.830378465482544,3.441481503815332,6.501437692698524,5.621232337875025
1.0,1.0,1.0,0.0004,0.0524,0.012,-0.0156,0.004,-0.0076,4.324444406161833,7.9471356921733225,1.7381799148992547,3.798644709781497,5.494485204795442
1.0,1.0,1.0,0.0016,0.0144,-0.0384,-0.0072,-0.31,0.0076,0.41981465977256116,4.266784452381488,5.425382491972069,2.718568456786858,3.993255871823344
1.0,1.0,1.0,-0.3796,-0.0048,0.002,-0.5716,-0.0096,0.0084,3.215907765552982,0.0656636896710312,4.357940911658664,2.7884759058985216,2.9376276640145678
1.0,1.0,1.0,0.0012,-0.0172,0.0072,0.0096,0.02,0.0144,4.261251696869854,6.360558693956694,5.464385473027026,3.5556651585524808,7.821899490102217
1.0,1.0,1.0,-0.0152,-0.0056,0.016,-0.0032,0.012,0.0176,3.151662381151876,4.890122728063418,1.3105047656260256,6.4689739323709965,4.228755364344738
1.0,1.0,1.0,0.0044,0.0072,-0.0004,0.0056,-0.0064,-0.0064,5.285228098511666,3.7448178474359892,5.329251107103087,5.929994744806965,3.169578567706903
1.0,1.0,1.0,-0.0112,-0.0104,0.02,-0.0044,0.0208,0.0068,4.437671999145017,7.027376645908914,3.3457296858251153,6.010557881209752,4.107939621451089
1.0,1.0,1.0,-0.1072,0.0456,-0.0184,0.0292,-0.0116,-0.02,1.6535501061497193,2.3902702218439926,7.168456920560321,5.430768465404579,6.03764051346496
1.0,1.0,1.0,-0.0948,0.3804,-0.08,0.0264,0.0252,0.0172,0.8350730190419022,2.6497590696615396,6.589194838092526,2.633636758393077,1.8392870105831935
1.0,1.0,1.0,0.2068,-0.0176,-0.0124,0.0316,-0.0088,-0.0004,3.7177083645135753,1.6914640254534767,9.632459412107082,7.738916880758934,1.5477736921445788
1.0,1.0,1.0,0.0144,-0.0068,0.0156,-0.0032,0.0016,-0.008,2.961163749019233,7.5703175522504855,3.9465092281275487,3.865999385781092,3.4446567896372873
1.0,1.0,1.0,0.0052,-0.0052,0.004,0.0012,-0.0176,-0.0164,5.439359014549444,5.430455575686772,3.1801777482644216,4.404383998258658,2.960272308684723
1.0,1.0,1.0,-0.1108,0.0432,-0.0292,0.0156,-0.0204,-0.0064,3.491110511975148,1.7083793119198603,1.9307833644721892,6.181054809146145,5.436098625598412
1.0,1.0,1.0,-0.18,-0.0792,0.0064,0.042,0.0096,0.0116,3.0052336222345613,2.0592414306521616,3.979148890491768,4.192046316223651,7.82010512344136
1.0,1.0,1.0,0.0404,0.0808,-0.0012,0.004,-0.0008,-0.032,2.8604719904368054,6.110952364097365,8.137784353328867,1.333298831752634,7.271732530726941
