0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.242,0.266,0.068,-0.172,-0.048,-0.028,-0.158,-0.1,0.03,0.004,-0.022,0.054,-0.03,0.044,0.042,-0.024,0.02,-0.016,0.044,0.024,0.024,-0.036,-0.036,0.036,0.032,-0.026,-0.014,0.062,0.05,0.0,5.5100212067822705,4.07039250908849,4.695579249239799,6.315112131926847,0.9593004424674323
1.0,1.0,1.0,0.07,0.262,-0.02,-0.03,-0.17,0.072,0.0,-0.014,0.022,0.018,0.05,-0.008,-0.01,-0.232,0.042,0.016,-0.172,-0.004,0.068,0.048,-0.016,0.026,0.012,0.006,-0.006,0.052,-0.014,-0.022,-0.028,-0.022,1.5070434569846771,5.318847813483155,4.012117952573024,4.587535161822257,6.577247968861068
1.0,1.0,1.0,0.218,0.364,0.086,-0.15,-0.178,0.028,-0.104,-0.22,0.064,-0.024,-0.008,-0.012,-0.012,0.008,-0.052,-0.012,-0.034,0.09,-0.024,-0.086,0.05,0.04,0.03,0.026,0.024,0.03,0.002,-0.052,0.056,-0.016,2.0048559634319574,3.8370318562402566,4.156033686808944,5.65146881392997,4.428279193578662
1.0,1.0,1.0,0.228,0.03,-0.038,-0.018,-0.176,-0.002,0.0,0.032,0.016,0.06,0.026,-0.026,0.024,-0.024,0.004,0.008,0.002,-0.05,0.0,0.05,0.014,0.03,0.006,-0.04,-0.018,-0.032,-0.034,0.002,0.038,0.0,4.521763198669049,6.968092506075541,7.813524297902994,1.6787284327609449,6.015333799141154
1.0,1.0,1.0,0.66,0.318,0.278,0.184,-0.146,-0.042,0.078,-0.194,0.012,-0.004,-0.038,0.03,-0.01,0.012,0.018,0.016,0.034,0.042,-0.01,0.03,-0.036,-0.04,-0.022,-0.018,0.024,0.002,0.014,-0.012,-0.016,-0.004,3.172843235004029,2.475122671162432,5.023859658850772,1.1627753718579257,2.9396838367216533
1.0,1.0,1.0,0.426,0.196,0.11,-0.02,-0.086,0.042,-0.11,0.024,0.026,0.034,0.018,-0.02,0.03,-0.106,0.032,0.012,0.064,0.028,-0.118,-0.11,0.068,-0.148,0.02,0.1,0.03,-0.012,0.034,0.022,0.034,-0.016,4.8900422733881586,1.965117888255028,3.974852611010824,2.7625991920046946,5.25405863223913
1.0,1.0,1.0,0.058,0.384,0.046,-0.23,0.034,-0.008,0.0,-0.022,0.038,0.008,0.02,0.0,0.01,-0.008,0.006,0.03,0.002,0.088,-0.048,-0.01,-0.026,0.052,-0.032,-0.02,-0.068,0.014,0.078,0.004,0.004,-0.1,4.0057245630467895,3.952235075802724,2.5634635089333293,6.529266946567453,4.892406711341776
1.0,1.0,1.0,0.236,0.282,0.15,-0.014,0.002,0.04,0.082,0.016,0.058,0.08,-0.004,-0.024,-0.054,0.004,-0.01,-0.038,-0.02,0.002,-0.03,-0.024,-0.006,0.032,0.044,-0.052,-0.03,-0.004,-0.014,0.062,0.0,-0.034,3.87079067673738,2.951174503018253,1.8186296919730278,2.5750516214517067,7.746476191735891
1.0,1.0,1.0,0.336,0.17,0.142,-0.142,-0.04,0.158,0.328,0.052,0.156,0.224,-0.09,-0.046,-0.722,-0.096,0.07,-0.638,-0.04,0.006,-0.012,-0.026,0.03,-0.438,0.05,-0.004,-0.772,0.036,0.02,0.138,-0.038,-0.036,3.1703025127644295,-0.5910458768170939,3.676914510387753,2.937975739368091,8.34045503019706
1.0,1.0,1.0,0.136,0.242,0.022,-0.09,-0.046,-0.004,0.016,0.018,-0.038,0.018,0.008,0.018,-0.038,-0.034,-0.028,-0.01,-0.024,0.066,-0.002,0.028,-0.01,0.004,-0.006,0.102,-0.068,0.012,0.008,0.018,0.056,0.002,4.36639081478889,4.470368301932833,3.7040785596212293,6.162632485144177,4.883897667365715
